instruction,response
Customer wants to cancel an order #1,You can cancel your order from your account dashboard within 24 hours.
Customer asks about refund window #2,Our refund window is 30 days from delivery.
Payment failed issue #3,Your payment did not go through. Please try again or use an alternate method.
Request replacement item #4,We will send a replacement immediately and share the return label.
Track my shipment #5,You can track your shipment using the tracking link sent to your email.
Request replacement item #6,We will send a replacement immediately and share the return label.
Technical support request #7,Our tech support team will contact you shortly.
Customer asks about refund window #8,Our refund window is 30 days from delivery.
Technical support request #9,Our tech support team will contact you shortly.
Customer asks about refund window #10,Our refund window is 30 days from delivery.
Request for invoice #11,An invoice will be emailed to you after purchase.
Customer wants to cancel an order #12,You can cancel your order from your account dashboard within 24 hours.
Need installation help #13,Please follow the installation guide. Contact support if you need live assistance.
Wrong item received #14,We’ll ship the correct item and provide a return label.
Request for invoice #15,An invoice will be emailed to you after purchase.
Customer wants to cancel an order #16,You can cancel your order from your account dashboard within 24 hours.
Payment failed issue #17,Your payment did not go through. Please try again or use an alternate method.
Request for invoice #18,An invoice will be emailed to you after purchase.
Request replacement item #19,We will send a replacement immediately and share the return label.
Payment failed issue #20,Your payment did not go through. Please try again or use an alternate method.
Need installation help #21,Please follow the installation guide. Contact support if you need live assistance.
Product not working #22,Please try resetting the product. Contact support if the issue persists.
Technical support request #23,Our tech support team will contact you shortly.
Shipping cost inquiry #24,Shipping cost depends on your location and chosen delivery speed.
Change delivery address #25,You can update your delivery address before the order ships.
Request for invoice #26,An invoice will be emailed to you after purchase.
Customer wants to cancel an order #27,You can cancel your order from your account dashboard within 24 hours.
Shipping cost inquiry #28,Shipping cost depends on your location and chosen delivery speed.
Need installation help #29,Please follow the installation guide. Contact support if you need live assistance.
Ask about warranty #30,Your product comes with a 12-month warranty.
Request for invoice #31,An invoice will be emailed to you after purchase.
Product not working #32,Please try resetting the product. Contact support if the issue persists.
Order arrived late #33,Sorry for the delay. A delivery credit has been applied.
Request replacement item #34,We will send a replacement immediately and share the return label.
Change delivery address #35,You can update your delivery address before the order ships.
Customer asks about refund window #36,Our refund window is 30 days from delivery.
Customer wants to cancel an order #37,You can cancel your order from your account dashboard within 24 hours.
Technical support request #38,Our tech support team will contact you shortly.
Request replacement item #39,We will send a replacement immediately and share the return label.
Ask about warranty #40,Your product comes with a 12-month warranty.
Request for invoice #41,An invoice will be emailed to you after purchase.
Shipping cost inquiry #42,Shipping cost depends on your location and chosen delivery speed.
Technical support request #43,Our tech support team will contact you shortly.
Customer wants to cancel an order #44,You can cancel your order from your account dashboard within 24 hours.
Request for invoice #45,An invoice will be emailed to you after purchase.
Track my shipment #46,You can track your shipment using the tracking link sent to your email.
Request replacement item #47,We will send a replacement immediately and share the return label.
Request replacement item #48,We will send a replacement immediately and share the return label.
